"Admin2","year","PR","LCI","UCI","source","sd_low","sd_high","sd"
"Allada",2000,42.3686915110124,16.230538306449,75.9759725152639,"MAP shared by Punam",13.3357924513079,17.1465719409446,17.1465719409446
"Allada",2001,45.6750328876635,23.9265638649102,75.3021187227185,"MAP shared by Punam",11.09615766467,15.115860119926,15.115860119926
"Allada",2002,48.8103416063167,26.7696381220984,73.5123461331568,"MAP shared by Punam",11.2452568797032,12.6030635341021,12.6030635341021
"Allada",2003,53.9659561500046,34.8855569932016,71.7960336038151,"MAP shared by Punam",9.73489752898111,9.09697829276046,9.73489752898111
"Allada",2004,59.0048320733416,45.4625524313105,70.9002683764741,"MAP shared by Punam",6.90932634797507,6.06910015465941,6.90932634797507
"Allada",2005,62.0088907271873,49.3042357607569,73.3511720840131,"MAP shared by Punam",6.48196681960733,5.78687824327847,6.48196681960733
"Allada",2006,62.0545614235461,45.965156138288,76.4873584166808,"MAP shared by Punam",8.20888024758066,7.36367193527284,8.20888024758066
"Allada",2007,57.3606837246328,41.7538822630088,72.5480433241354,"MAP shared by Punam",7.96265380695105,7.74865285688906,7.96265380695105
"Allada",2008,49.9936490920978,37.2895322200861,64.2547797096027,"MAP shared by Punam",6.48169228163862,7.27608704974741,7.27608704974741
"Allada",2009,42.4784492831935,31.9051309723276,54.6894486740062,"MAP shared by Punam",5.39455015860504,6.23010173000647,6.23010173000647
"Allada",2010,38.3313350961873,29.5835759654382,48.2320934070188,"MAP shared by Punam",4.46314241364747,5.05140730144465,5.05140730144465
"Allada",2011,34.9354009034113,29.0024569843114,42.1636642829304,"MAP shared by Punam",3.02701220362241,3.68788947934648,3.68788947934648
"Allada",2012,34.6674830174322,31.365083700088,38.2911618537535,"MAP shared by Punam",1.68489761088994,1.84881573281698,1.84881573281698
"Allada",2013,37.6190746447598,30.8648107987797,46.3872822450288,"MAP shared by Punam",3.44605298264287,4.47357530625973,4.47357530625973
"Allada",2014,40.5287145763538,31.1439188072794,51.9270825156892,"MAP shared by Punam",4.78816110667062,5.81549384659969,5.81549384659969
"Allada",2015,45.4898296518034,36.0371911641532,56.0073379468243,"MAP shared by Punam",4.82277473859705,5.36607566072495,5.36607566072495
"Allada",2016,51.0304908207604,44.7079400900361,57.7561283743752,"MAP shared by Punam",3.22579118914505,3.43144773143612,3.43144773143612
"Allada",2017,49.3340685045992,45.7894874199135,52.8785569005073,"MAP shared by Punam",1.80845973708454,1.80841244689184,1.80845973708454
"Allada",2018,46.4978170737824,41.2666391347466,51.2466648303013,"MAP shared by Punam",2.66896833624274,2.42288150842802,2.66896833624274
"Allada",2019,45.872158466827,36.4630983179802,54.4883160253462,"MAP shared by Punam",4.80054089226876,4.39599875434651,4.80054089226876
"Savalou",2000,55.927306525851,20.4408655130296,88.9629022161242,"MAP shared by Punam",18.1053270473579,16.8548957603435,18.1053270473579
"Savalou",2001,60.6744059479496,30.6460702699692,88.041342527322,"MAP shared by Punam",15.320579427541,13.9627227445778,15.320579427541
"Savalou",2002,65.6489816727404,38.2331570356028,87.948173709719,"MAP shared by Punam",13.9876656311926,11.3771387943768,13.9876656311926
"Savalou",2003,71.7137951212398,49.8352990361173,89.1497430172092,"MAP shared by Punam",11.1624980026135,8.89589178365782,11.1624980026135
"Savalou",2004,76.8313652935938,60.4243785475826,89.4887485019944,"MAP shared by Punam",8.37091160510773,6.45784857571458,8.37091160510773
"Savalou",2005,79.4631306041375,57.7206013720012,91.897532829874,"MAP shared by Punam",11.0931271592532,6.3440827682329,11.0931271592532
"Savalou",2006,77.5933481182036,50.2559106260172,92.2282473270671,"MAP shared by Punam",13.947672189891,7.46678531064464,13.947672189891
"Savalou",2007,70.212200574143,41.6472236259574,88.0726145941537,"MAP shared by Punam",14.5739678307069,9.11245613265852,14.5739678307069
"Savalou",2008,55.6352224031971,33.3049940975431,76.3725917952674,"MAP shared by Punam",11.3929736253337,10.5802905061583,11.3929736253337
"Savalou",2009,40.6281148451117,24.3596922995616,65.1752915245142,"MAP shared by Punam",8.30021558446431,12.524069734389,12.524069734389
"Savalou",2010,33.8988141278935,20.7233610103142,55.8620984162301,"MAP shared by Punam",6.72216995794861,11.2057572899677,11.2057572899677
"Savalou",2011,33.5448774088857,22.0558035186299,50.8577540982491,"MAP shared by Punam",5.86177239298763,8.83310035171601,8.83310035171601
"Savalou",2012,41.0863865743493,31.4583948868229,51.3314286479251,"MAP shared by Punam",4.91224065690125,5.22706228243664,5.22706228243664
