"Admin0","year","PR_pop_adj","LCI","UCI","source"
"Benin","2000",34.7953980515985,9.52553993379611,65.8013665410907,"MAP shared by Punam"
"Benin","2001",37.0848760322225,12.265698737731,65.2803954005423,"MAP shared by Punam"
"Benin","2002",40.109565566186,15.0633999549438,65.4244103708214,"MAP shared by Punam"
"Benin","2003",43.8934665736793,20.3981524397407,65.5115870504323,"MAP shared by Punam"
"Benin","2004",47.6228071609621,26.5846028527616,65.8246722410418,"MAP shared by Punam"
"Benin","2005",50.2743906459645,28.2341220859164,69.0651313714121,"MAP shared by Punam"
"Benin","2006",50.8099188244486,27.0941959501561,71.0387995977711,"MAP shared by Punam"
"Benin","2007",48.0984831124097,24.694091090158,68.6206474318054,"MAP shared by Punam"
"Benin","2008",43.0641012274294,23.7239362219459,61.5972782137441,"MAP shared by Punam"
"Benin","2009",37.5009812778958,22.3318839346648,53.5496461323461,"MAP shared by Punam"
"Benin","2010",33.8153827374689,21.3661539143431,47.228791969013,"MAP shared by Punam"
"Benin","2011",31.1549538512237,21.6990562191557,41.0066275702513,"MAP shared by Punam"
"Benin","2012",30.9619687276227,24.7755020539651,37.2775849427882,"MAP shared by Punam"
"Benin","2013",33.1403021484029,23.9176247088816,43.0873361211468,"MAP shared by Punam"
"Benin","2014",35.2439038638162,23.4145330422664,47.6750577211739,"MAP shared by Punam"
"Benin","2015",38.076023887436,26.0849918395564,50.323074876709,"MAP shared by Punam"
"Benin","2016",40.6874683582591,31.3624153422529,50.1282124964566,"MAP shared by Punam"
"Benin","2017",38.249128464607,31.5018873046612,45.3565972303196,"MAP shared by Punam"
"Benin","2018",35.8613693291898,28.2665224775968,43.6538619558224,"MAP shared by Punam"
"Benin","2019",35.0509340649243,25.0211932228576,45.7144993391331,"MAP shared by Punam"
