name;pop2013;pop2014;pop2015;pop2016;pop2017;pop2018;pop2019;pop2020;pop2021;pop2022;pop2023;pop2024;pop2025;pop2026;pop2027;pop2012;pop2011;pop2010;pop2009;pop2008;pop2007;pop2006;pop2005;pop2004;pop2003;pop2002;pop2001;pop2000
bembereke;125465;129868.8215;134427.2171;139145.6125;144029.6235;149085.0632;154317.949;159734.509;165341.1902;171144.666;177151.8438;183369.8735;189806.1561;196468.3521;203364.3913;121210.5111;117100.2909;113129.4473;109293.254;105587.1452;102006.7097;98547.68595;95205.95687;91977.54503;88858.6079;85845.43319;82934.43454;80122.14717
bohicon;170604;176592.2004;182790.5866;189206.5362;195847.6856;202721.9394;209837.4795;217202.775;224826.5924;232718.0058;240886.4078;249341.5207;258093.4081;267152.4867;276529.539;164818.8581;159229.889;153830.4405;148614.0861;143574.617;138706.0352;134002.5458;129458.5507;125068.6414;120827.5929;116730.3573;112772.0581;108947.9839
bonou;44430;45989.493;47603.7242;49274.61492;51004.15391;52794.39971;54647.48314;56565.6098;58551.0627;60606.205;62733.4828;64935.42804;67214.66157;69573.89619;72015.93995;42923.38904;41467.86692;40061.7012;38703.21824;37390.80112;36122.88776;34897.96905;33714.58704;32571.33325;31466.84692;30399.81347;29368.96287;28373.06818
bopa;96598;99988.5898;103498.1893;107130.9757;110891.273;114783.5567;118812.4595;122982.7768;127299.4723;131767.6838;136392.7295;141180.1143;146135.5363;151264.8936;156574.2914;93322.38431;90157.84399;87100.61249;84147.051;81293.64409;78536.99555;75873.82431;73300.9606;70815.34209;68414.01033;66094.10717;63852.87138;61687.63538
boukoumbe;83147;86065.4597;89086.35734;92213.28848;95449.9749;98800.26902;102268.1585;105857.7708;109573.3786;113419.4042;117400.4253;121521.1802;125786.5736;130201.6823;134771.7614;80327.50459;77603.61761;74972.09701;72429.81065;69973.73264;67600.93965;65308.60753;63094.00785;60954.50474;58887.55167;56890.68851;54961.53851;53097.80553
kobli;68955;71375.3205;73880.59425;76473.80311;79158.0336;81936.48058;84812.45104;87789.36808;90870.7749;94060.33909;97361.857;100779.2582;104316.6101;107978.1232;111768.1553;66616.752;64357.79345;62175.43566;60067.08112;58030.22038;56062.42912;54161.3652;52324.76592;50550.44529;48836.29146;47180.26418;45580.39241;44034.77192
come;79665;82461.2415;85355.63108;88351.61373;91452.75537;94662.74708;97985.40951;101424.6974;104984.7043;108669.6674;112483.9727;116432.1601;120518.929;124749.1434;129127.8383;76963.5784;74353.76137;71832.44264;69396.62123;67043.39796;64769.97195;62573.63728;60451.77981;58401.87403;56421.48008;54508.24083;52659.87907;50874.19483
kopargo;71290;73792.279;76382.38799;79063.40981;81838.5355;84711.06809;87684.42658;90762.14995;93947.90142;97245.47276;100658.7889;104191.9123;107849.0485;111634.5501;115552.9228;68872.5727;66537.11979;64280.86155;62101.1125;59995.27824;57960.85232;55995.41331;54096.62189;52262.21803;50490.01839;48777.91362;47123.86593;45525.9066
cotonou;678874;702702.4774;727367.3344;752897.9278;779324.6451;806678.9401;834993.3709;864301.6382;894638.6257;926040.4415;958544.461;992189.3716;1027015.218;1063063.453;1100376.98;655853.5407;633613.6999;612128.0068;591370.8886;571317.6395;551944.3913;533228.0855;515146.4453;497677.9493;480801.8059;464497.9286;448746.912;433530.0087
cove;50235;51998.2485;53823.38702;55712.58791;57668.09974;59692.25004;61787.44802;63956.18745;66201.04962;68524.70647;70929.92366;73419.56398;75996.59068;78664.07101;81425.17991;48531.54285;46885.84953;45295.96129;43759.98579;42276.09486;40842.52232;39457.5619;38119.56516;36826.93958;35578.14664;34371.69997;33206.16362;32080.15035
dangbo;95908;99274.3708;102758.9012;106365.7386;110099.1761;113963.6572;117963.7815;122104.3103;126390.1715;130826.4666;135418.4755;140171.664;145091.6894;150184.4077;155455.8804;92655.78205;89513.84605;86478.45238;83545.98819;80712.96318;77976.00539;75331.8572;72777.37147;70309.50774;67925.32871;65621.99663;63396.77;61247.00029
dassa;112118;116053.3418;120126.8141;124343.2653;128707.7139;133225.3546;137901.5646;142741.9095;147752.1505;152938.251;158306.3836;163862.9377;169614.5268;175567.9967;181730.4334;108316.1047;104643.1308;101094.7066;97666.60867;94354.7567;91155.20887;88064.15696;85077.92191;82192.94938;79405.80561;76713.17322;74111.84738;71598.73189
djakotome;134704;139432.1104;144326.1775;149392.0263;154635.6864;160063.399;165681.6243;171497.0493;177516.5958;183747.4283;190196.963;196872.8764;203783.1144;210935.9017;218339.7518;130136.2187;125723.3298;121460.081;117341.3979;113362.3785;109518.2866;105804.547;102216.7394;98750.5936;95401.98397;92166.9249;89041.56594;86022.18717
djidja;123804;128149.5204;132647.5686;137303.4982;142122.851;147111.3631;152274.9719;157619.8234;163152.2792;168878.9242;174806.5745;180942.2852;187293.3595;193867.3564;200672.1006;119605.8352;115550.0292;111631.7546;107846.3478;104189.3032;100656.2682;97243.03759;93945.54883;90759.87714;87682.23084;84708.94681;81836.48614;79061.42995
djougou;266522;275876.9222;285560.2022;295583.3653;305958.3414;316697.4792;327813.5607;339319.8167;351229.9422;363558.1132;376319.003;389527.8;403200.2258;417352.5537;432001.6283;257484.301;248753.0683;240317.9097;232168.7853;224295.9959;216690.1709;209342.2576;202243.5104;195385.4801;188760.0039;182359.1962;176175.4383;170201.3702
dogbo;101870;105445.637;109146.7789;112977.8308;116943.3527;121048.0643;125296.8514;129694.7709;134247.0573;138959.129;143836.5945;148885.2589;154111.1315;159520.4322;165119.5994;98415.61202;95078.36153;91854.27643;88739.5193;85730.38286;82823.28554;80014.76721;77301.48508;74680.20972;72147.8212;69701.30538;67337.75034;65054.34291
glazoue;123542;127878.3242;132366.8534;137012.9299;141822.0838;146800.0389;151952.7203;157286.2608;162807.0085;168521.5345;174436.6404;180559.3665;186897.0002;193457.0849;200247.4286;119352.7195;115305.4966;111395.5141;107618.1181;103968.8128;100443.2546;97037.24718;93746.73672;90567.80671;87496.67347;84529.68164;81663.29982;78894.11634
